accession	Kingdom	Phylum	Class	Order	Family	Genus	OTU
K11744						AI-2 transport protein TqsA	K11744
K11746						glutathione-regulated potassium-efflux system ancillary protein KefF	K11746
K11748						glutathione-regulated potassium-efflux system ancillary protein KefG	K11748
K11749						regulator of sigma E protease [EC:3.4.24.-]	K11749
K11750						esterase FrsA [EC:3.1.-.-]	K11750
K11751						5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]	K11751
K11752						diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]	K11752
K11753						riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	K11753
K11754						dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]	K11754
K11755						phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphohydrolase [EC:3.5.4.19 3.6.1.31]	K11755
K11756						chromatin structure-remodeling complex subunit RSC1/2	K11756
K11761						chromatin structure-remodeling complex protein RSC7	K11761
K11763						chromatin structure-remodeling complex subunit RSC9	K11763
K11768						actin-related protein 9	K11768
K11770						chromatin structure-remodeling complex subunit SFH1	K11770
K11771						SWI/SNF chromatin-remodeling complex subunit SWI1	K11771
K11777						HAD superfamily phosphatase	K11777
K11779						FO synthase [EC:2.5.1.147 4.3.1.32]	K11779
K11780						"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase [EC:4.3.1.32]"	K11780
K11781						5-amino-6-(D-ribitylamino)uracil---L-tyrosine 4-hydroxyphenyl transferase [EC:2.5.1.147]	K11781
K11782						chorismate dehydratase [EC:4.2.1.151]	K11782
K11783						futalosine hydrolase [EC:3.2.2.26]	K11783
K11784						cyclic dehypoxanthinyl futalosine synthase [EC:1.21.98.1]	K11784
K11785						"1,4-dihydroxy-6-naphthoate synthase [EC:1.14.-.-]"	K11785
K11790						denticleless	K11790
K11801						DDB1- and CUL4-associated factor 11	K11801
K11805						DDB1- and CUL4-associated factor 7	K11805
K11806						DDB1- and CUL4-associated factor 13	K11806
K11808						phosphoribosylaminoimidazole carboxylase [EC:4.1.1.21]	K11808
K11811						arsenical resistance protein ArsH	K11811
K11816						indole-3-pyruvate monooxygenase [EC:1.14.13.168]	K11816
K11824						AP-2 complex subunit alpha	K11824
K11827						AP-2 complex subunit sigma-1	K11827
K11835						ubiquitin carboxyl-terminal hydrolase 4/11 [EC:3.4.19.12]	K11835
K11836						ubiquitin carboxyl-terminal hydrolase 5/13 [EC:3.4.19.12]	K11836
K11838						ubiquitin carboxyl-terminal hydrolase 7 [EC:3.4.19.12]	K11838
K11839						ubiquitin carboxyl-terminal hydrolase 8 [EC:3.4.19.12]	K11839
K11841						ubiquitin carboxyl-terminal hydrolase 10 [EC:3.4.19.12]	K11841
K11843						ubiquitin carboxyl-terminal hydrolase 14 [EC:3.4.19.12]	K11843
K11866						STAM-binding protein [EC:3.4.19.12]	K11866
K11870						ubiquitin carboxyl-terminal hydrolase 1 [EC:3.4.19.12]	K11870
K11872						ubiquitin carboxyl-terminal hydrolase 9/13 [EC:3.4.19.12]	K11872
K11874						ubiquitin carboxyl-terminal hydrolase 16 [EC:3.4.19.12]	K11874
K11877						proteasome assembly chaperone 3	K11877
K11883						RNA-binding protein NOB1	K11883
K11884						RNA-binding protein PNO1	K11884
K11885						DNA damage-inducible protein 1	K11885
K11886						proteasome component ECM29	K11886
K11887						proteasomal ATPase-associated factor 1	K11887
K11888						protein Cut8	K11888
K11890						type VI secretion system protein ImpM	K11890
K11891						type VI secretion system protein ImpL	K11891
K11892						type VI secretion system protein ImpK	K11892
K11893						type VI secretion system protein ImpJ	K11893
K11894						type VI secretion system protein ImpI	K11894
K11895						type VI secretion system protein ImpH	K11895
K11896						type VI secretion system protein ImpG	K11896
K11897						type VI secretion system protein ImpF	K11897
K11898						type VI secretion system protein ImpE	K11898
K11899						type VI secretion system protein ImpD	K11899
K11900						type VI secretion system protein ImpC	K11900
K11901						type VI secretion system protein ImpB	K11901
K11902						type VI secretion system protein ImpA	K11902
K11903						type VI secretion system secreted protein Hcp	K11903
K11904						type VI secretion system secreted protein VgrG	K11904
K11905						type VI secretion system protein	K11905
K11906						type VI secretion system protein VasD	K11906
K11907						type VI secretion system protein VasG	K11907
K11909						type VI secretion system protein VasI	K11909
K11910						type VI secretion system protein VasJ	K11910
K11913						type VI secretion system protein	K11913
K11917						sigma-54 dependent transcriptional regulator	K11917
K11918						type VI secretion system protein	K11918
K11921						"LysR family transcriptional regulator, cyn operon transcriptional activator"	K11921
K11923						"MerR family transcriptional regulator, copper efflux regulator"	K11923
K11924						"DtxR family transcriptional regulator, manganese transport regulator"	K11924
K11925						SgrR family transcriptional regulator	K11925
K11927						ATP-dependent RNA helicase RhlE [EC:3.6.4.13]	K11927
K11928						sodium/proline symporter	K11928
K11930						periplasmic protein TorT	K11930
K11931						"poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase [EC:3.5.1.-]"	K11931
K11935						biofilm PGA synthesis protein PgaA	K11935
K11936						"poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]"	K11936
K11937						biofilm PGA synthesis protein PgaD	K11937
K11938						HMP-PP phosphatase [EC:3.6.1.-]	K11938
K11939						inner membrane transporter RhtA	K11939
K11940						heat shock protein HspQ	K11940
K11941						glucans biosynthesis protein C [EC:2.1.-.-]	K11941
K11942						isobutyryl-CoA mutase [EC:5.4.99.13]	K11942
K11955						neutral amino acid transport system permease protein	K11955
K11956						neutral amino acid transport system permease protein	K11956
K11957						neutral amino acid transport system ATP-binding protein	K11957
K11959						urea transport system substrate-binding protein	K11959
K11960						urea transport system permease protein	K11960
K11961						urea transport system permease protein	K11961
K11962						urea transport system ATP-binding protein	K11962
K11963						urea transport system ATP-binding protein	K11963
K11968						ariadne-1 [EC:2.3.2.31]	K11968
K11971						E3 ubiquitin-protein ligase RNF14 [EC:2.3.2.31]	K11971
K11976						E3 ubiquitin-protein ligase RNF216 [EC:2.3.2.31]	K11976
K11979						E3 ubiquitin-protein ligase UBR7 [EC:2.3.2.27]	K11979
K11982						E3 ubiquitin-protein ligase RNF115/126 [EC:2.3.2.27]	K11982
K11984						U4/U6.U5 tri-snRNP-associated protein 1	K11984
K11991						tRNA(adenine34) deaminase [EC:3.5.4.33]	K11991
K11995						deoxyribonuclease-1-like protein [EC:3.1.21.-]	K11995
K11996						adenylyltransferase and sulfurtransferase [EC:2.7.7.80 2.8.1.11]	K11996
K12055						chromosome partitioning related protein ParA	K12055
K12056						conjugal transfer mating pair stabilization protein TraG	K12056
K12057						conjugal transfer pilus assembly protein TraF	K12057
K12060						conjugal transfer pilus assembly protein TraU	K12060
K12062						conjugal transfer pilin signal peptidase TrbI	K12062
K12063						conjugal transfer ATP-binding protein TraC	K12063
K12070						conjugal transfer pilus assembly protein TraI	K12070
K12071						conjugal transfer pilus assembly protein TraD	K12071
K12073						"1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]"	K12073
K12132						eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	K12132
K12137						hydrogenase-4 component B [EC:1.-.-.-]	K12137
K12140						hydrogenase-4 component E [EC:1.-.-.-]	K12140
K12141						hydrogenase-4 component F [EC:1.-.-.-]	K12141
K12146						hydrogenase-4 transcriptional activator	K12146
K12152						phosphatase NudJ [EC:3.6.1.-]	K12152
K12158						ubiquitin-like protein Nedd8	K12158
K12160						small ubiquitin-related modifier	K12160
K12161						ubiquitin related modifier 1	K12161
K12175						COP9 signalosome complex subunit 1	K12175
K12176						COP9 signalosome complex subunit 2	K12176
K12177						COP9 signalosome complex subunit 3	K12177
K12178						COP9 signalosome complex subunit 4	K12178
K12179						COP9 signalosome complex subunit 6	K12179
K12180						COP9 signalosome complex subunit 7	K12180
K12184						ESCRT-I complex subunit VPS28	K12184
K12185						ESCRT-I complex subunit VPS37	K12185
K12188						ESCRT-II complex subunit VPS22	K12188
K12189						ESCRT-II complex subunit VPS25	K12189
K12190						ESCRT-II complex subunit VPS36	K12190
K12193						charged multivesicular body protein 3	K12193
K12195						charged multivesicular body protein 6	K12195
K12196						vacuolar protein-sorting-associated protein 4	K12196
K12197						charged multivesicular body protein 1	K12197
K12198						charged multivesicular body protein 5	K12198
K12199						vacuolar protein sorting-associated protein VTA1	K12199
K12203						defect in organelle trafficking protein DotB [EC:7.2.4.8]	K12203
K12204						defect in organelle trafficking protein DotC	K12204
K12205						defect in organelle trafficking protein DotD	K12205
K12206						intracellular multiplication protein IcmB [EC:7.2.4.8]	K12206
K12209						intracellular multiplication protein IcmE	K12209
K12211						intracellular multiplication protein IcmG	K12211
K12212						intracellular multiplication protein IcmJ	K12212
K12213						intracellular multiplication protein IcmK	K12213
K12214						intracellular multiplication protein IcmL	K12214
K12217						intracellular multiplication protein IcmO [EC:7.2.4.8]	K12217
K12218						intracellular multiplication protein IcmP	K12218
K12222						intracellular multiplication protein IcmT	K12222
K12232						E3 ubiquitin-protein ligase HECTD2 [EC:2.3.2.26]	K12232
K12234						coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34]	K12234
K12236						transcriptional repressor NF-X1	K12236
K12240						pyochelin synthetase	K12240
K12242						pyochelin biosynthesis protein PchC	K12242
K12243						"AraC family transcriptional regulator, transcriptional activator of the genes for pyochelin and ferripyochelin receptors"	K12243
K12244						[Skp1-protein]-hydroxyproline N-acetylglucosaminyltransferase [EC:2.4.1.229]	K12244
K12251						N-carbamoylputrescine amidase [EC:3.5.1.53]	K12251
K12252						arginine:pyruvate transaminase [EC:2.6.1.84]	K12252
K12255						guanidinobutyrase [EC:3.5.3.7]	K12255
K12256						putrescine---pyruvate transaminase [EC:2.6.1.113]	K12256
K12257						SecD/SecF fusion protein	K12257
K12261						2-hydroxyacyl-CoA lyase 1 [EC:4.1.-.-]	K12261
K12262						superoxide oxidase [EC:1.10.3.17]	K12262
K12267						peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11 1.8.4.12]	K12267
K12272						signal recognition particle receptor subunit beta	K12272
K12273						translocation protein SEC66	K12273
K12274						translocation protein SEC72	K12274
K12275						translocation protein SEC62	K12275
K12276						MSHA biogenesis protein MshE	K12276
K12278						MSHA biogenesis protein MshG	K12278
K12279						MSHA biogenesis protein MshI	K12279
K12280						MSHA biogenesis protein MshJ	K12280
K12281						MSHA biogenesis protein MshK	K12281
K12282						MSHA biogenesis protein MshL	K12282
K12283						MSHA biogenesis protein MshM	K12283
K12284						MSHA biogenesis protein MshN	K12284
K12285						MSHA biogenesis protein MshO	K12285
K12286						MSHA biogenesis protein MshP	K12286
K12287						MSHA biogenesis protein MshQ	K12287
K12297						23S rRNA (guanine2445-N2)-methyltransferase / 23S rRNA (guanine2069-N7)-methyltransferase [EC:2.1.1.173 2.1.1.264]	K12297
K12307						"MFS transporter, ceroid-lipofuscinosis neuronal protein 7"	K12307
K12308						beta-galactosidase [EC:3.2.1.23]	K12308
K12339						S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC:2.5.1.144]	K12339
K12340						outer membrane protein	K12340
K12345						3-oxo-5-alpha-steroid 4-dehydrogenase 3 / polyprenol reductase [EC:1.3.1.22 1.3.1.94]	K12345
K12346						metal iron transporter	K12346
K12349						neutral ceramidase [EC:3.5.1.23]	K12349
K12350						sphingomyelin phosphodiesterase [EC:3.1.4.12]	K12350
K12351						sphingomyelin phosphodiesterase 2 [EC:3.1.4.12]	K12351
K12368						dipeptide transport system substrate-binding protein	K12368
K12369						dipeptide transport system permease protein	K12369
K12370						dipeptide transport system permease protein	K12370
K12371						dipeptide transport system ATP-binding protein	K12371
K12372						dipeptide transport system ATP-binding protein	K12372
K12373						hexosaminidase [EC:3.2.1.52]	K12373
K12389						battenin	K12389
K12391						AP-1 complex subunit gamma-1	K12391
K12392						AP-1 complex subunit beta-1	K12392
K12396						AP-3 complex subunit delta	K12396
K12397						AP-3 complex subunit beta	K12397
K12404						ADP-ribosylation factor-binding protein GGA	K12404
K12409						bifunctional UDP-N-acetylglucosamine 2-epimerase / N-acetylmannosamine kinase [EC:3.2.1.183 2.7.1.60]	K12409
K12410						NAD-dependent deacetylase [EC:2.3.1.286]	K12410
K12411						homeobox protein YOX1/YHP1	K12411
K12420						ketoreductase [EC:1.1.1.-]	K12420
K12421						fatty acid CoA ligase FadD9	K12421
K12423						fatty acid CoA ligase FadD21	K12423
K12424						4-hydroxybenzoate adenylyltransferase [EC:6.2.1.50]	K12424
K12426						long-chain fatty acid adenylase/transferase FadD26 [EC:6.2.1.59]	K12426
K12427						long-chain fatty acid adenylyltransferase FadD28 [EC:6.2.1.49]	K12427
K12428						fatty acid CoA ligase FadD32	K12428
K12429						fatty acid CoA ligase FadD36	K12429
K12432						mycolipanoate synthase [EC:2.3.1.252]	K12432
K12433						polyketide synthase 5	K12433
K12436						mycoketide-CoA synthase [EC:2.3.1.295]	K12436
K12437						polyketide synthase 13	K12437
K12439						polyketide synthase 17	K12439
K12441						phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase B [EC:2.3.1.292]	K12441
K12442						phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase C [EC:2.3.1.292]	K12442
K12443						phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase D [EC:2.3.1.292]	K12443
K12444						phthiocerol/phenolphthiocerol synthesis type-I polyketide synthase E [EC:2.3.1.292]	K12444
K12445						trans enoyl reductase [EC:1.3.1.-]	K12445
K12452						"CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]"	K12452
K12453						CDP-paratose synthetase [EC:1.1.1.342]	K12453
K12454						CDP-paratose 2-epimerase [EC:5.1.3.10]	K12454
K12462						Rho GDP-dissociation inhibitor	K12462
K12466						(+)-trans-carveol dehydrogenase [EC:1.1.1.275]	K12466
K12471						epsin	K12471
K12472						epidermal growth factor receptor substrate 15	K12472
K12479						vacuolar protein sorting-associated protein 45	K12479
K12481						rabenosyn-5	K12481
K12488						"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein"	K12488
K12502						MPBQ/MSBQ methyltransferase [EC:2.1.1.295]	K12502
K12503						short-chain Z-isoprenyl diphosphate synthase [EC:2.5.1.68]	K12503
K12506						"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]"	K12506
K12507						acyl-CoA synthetase [EC:6.2.1.-]	K12507
K12508						feruloyl-CoA synthase [EC:6.2.1.34]	K12508
K12510						tight adherence protein B	K12510
K12511						tight adherence protein C	K12511
K12513						tight adherence protein E	K12513
K12524						bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]	K12524
K12526						bifunctional diaminopimelate decarboxylase / aspartate kinase [EC:4.1.1.20 2.7.2.4]	K12526
K12528						putative selenate reductase molybdopterin-binding subunit	K12528
K12539						"ATP-binding cassette, subfamily C, bacterial PrsD"	K12539
K12541						"ATP-binding cassette, subfamily C, bacterial LapB"	K12541
K12542						"membrane fusion protein, adhesin transport system"	K12542
K12571						PAB-dependent poly(A)-specific ribonuclease subunit 2 [EC:3.1.13.4]	K12571
K12572						PAB-dependent poly(A)-specific ribonuclease subunit 3	K12572
K12573						ribonuclease R [EC:3.1.13.1]	K12573
K12574						ribonuclease J [EC:3.1.-.-]	K12574
K12580						CCR4-NOT transcription complex subunit 3	K12580
K12581						CCR4-NOT transcription complex subunit 7/8	K12581
K12583						"phosphatidylinositol alpha 1,6-mannosyltransferase [EC:2.4.1.-]"	K12583
K12584						m7GpppX diphosphatase [EC:3.6.1.59]	K12584
K12585						exosome complex exonuclease DIS3/RRP44 [EC:3.1.13.-]	K12585
K12586						exosome complex component RRP43	K12586
K12587						exosome complex component MTR3	K12587
K12590						exosome complex component RRP46	K12590
K12591						exosome complex exonuclease RRP6 [EC:3.1.13.-]	K12591
K12592						exosome complex protein LRP1	K12592
K12597						protein AIR1/2	K12597
K12598						ATP-dependent RNA helicase DOB1 [EC:3.6.4.13]	K12598
K12599						antiviral helicase SKI2 [EC:3.6.4.-]	K12599
K12600						superkiller protein 3	K12600
K12603						CCR4-NOT transcription complex subunit 6 [EC:3.1.13.4]	K12603
K12604						CCR4-NOT transcription complex subunit 1	K12604
K12605						CCR4-NOT transcription complex subunit 2	K12605
K12606						CCR4-NOT transcription complex subunit 9	K12606
K12608						CCR4-NOT complex subunit CAF16	K12608
K12609						CCR4-NOT transcriptional complex subunit CAF120	K12609
K12613						mRNA-decapping enzyme subunit 2 [EC:3.6.1.62]	K12613
K12614						ATP-dependent RNA helicase DDX6/DHH1 [EC:3.6.4.13]	K12614
K12615						enhancer of mRNA-decapping protein 3	K12615
K12617						DNA topoisomerase 2-associated protein PAT1	K12617
K12618						5'-3' exoribonuclease 1 [EC:3.1.13.-]	K12618
K12619						5'-3' exoribonuclease 2 [EC:3.1.13.-]	K12619
K12620						U6 snRNA-associated Sm-like protein LSm1	K12620
K12622						U6 snRNA-associated Sm-like protein LSm3	K12622
K12623						U6 snRNA-associated Sm-like protein LSm4	K12623
K12625						U6 snRNA-associated Sm-like protein LSm6	K12625
K12626						U6 snRNA-associated Sm-like protein LSm7	K12626
K12658						4-hydroxyproline epimerase [EC:5.1.1.8]	K12658
K12659						N-acetyl-gamma-glutamyl-phosphate reductase / acetylglutamate kinase [EC:1.2.1.38 2.7.2.8]	K12659
K12661						L-rhamnonate dehydratase [EC:4.2.1.90]	K12661
K12662						U4/U6 small nuclear ribonucleoprotein PRP4	K12662
K12666						oligosaccharyltransferase complex subunit alpha (ribophorin I)	K12666
K12667						oligosaccharyltransferase complex subunit delta (ribophorin II)	K12667
K12668						oligosaccharyltransferase complex subunit epsilon	K12668
K12669						oligosaccharyltransferase complex subunit gamma	K12669
K12670						oligosaccharyltransferase complex subunit beta	K12670
K12678						autotransporter family porin	K12678
K12685						subtilase-type serine protease [EC:3.4.21.-]	K12685
K12686						outer membrane lipase/esterase	K12686
K12735						peptidyl-prolyl cis-trans isomerase-like 4 [EC:5.2.1.8]	K12735
K12736						peptidylprolyl isomerase domain and WD repeat-containing protein 1 [EC:5.2.1.8]	K12736
K12737						peptidyl-prolyl cis-trans isomerase SDCCAG10 [EC:5.2.1.8]	K12737
K12762						G protein-coupled receptor GPR1	K12762
K12763						enhanced filamentous growth protein 1	K12763
K12765						meiosis induction protein kinase IME2/SME1 [EC:2.7.11.1]	K12765
K12767						serine/threonine-protein kinase RIM15 [EC:2.7.11.1]	K12767
K12769						meiosis-specific transcription factor NDT80	K12769
K12795						suppressor of G2 allele of SKP1	K12795
K12811						ATP-dependent RNA helicase DDX46/PRP5 [EC:3.6.4.13]	K12811
K12815						pre-mRNA-splicing factor ATP-dependent RNA helicase DHX38/PRP16 [EC:3.6.4.13]	K12815
K12816						pre-mRNA-processing factor 17	K12816
K12817						pre-mRNA-splicing factor 18	K12817
K12819						pre-mRNA-processing factor SLU7	K12819
K12820						pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43 [EC:3.6.4.13]	K12820
K12821						pre-mRNA-processing factor 40	K12821
K12822						RNA-binding protein 25	K12822
K12823						ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13]	K12823
K12825						splicing factor 3A subunit 1	K12825
K12826						splicing factor 3A subunit 2	K12826
K12827						splicing factor 3A subunit 3	K12827
K12828						splicing factor 3B subunit 1	K12828
K12829						splicing factor 3B subunit 2	K12829
K12830						splicing factor 3B subunit 3	K12830
K12831						splicing factor 3B subunit 4	K12831
K12832						splicing factor 3B subunit 5	K12832
K12833						pre-mRNA branch site protein p14	K12833
K12837						splicing factor U2AF 65 kDa subunit	K12837
K12839						survival of motor neuron-related-splicing factor 30	K12839
K12840						splicing factor 45	K12840
K12842						U2-associated protein SR140	K12842
K12843						U4/U6 small nuclear ribonucleoprotein PRP3	K12843
K12844						U4/U6 small nuclear ribonucleoprotein PRP31	K12844
K12845						U4/U6 small nuclear ribonucleoprotein SNU13	K12845
K12846						U4/U6.U5 tri-snRNP-associated protein 3	K12846
K12847						U4/U6.U5 tri-snRNP-associated protein 2	K12847
K12848						U4/U6.U5 tri-snRNP component SNU23	K12848
K12849						pre-mRNA-splicing factor 38A	K12849
K12852						116 kDa U5 small nuclear ribonucleoprotein component	K12852
K12855						pre-mRNA-processing factor 6	K12855
K12856						pre-mRNA-processing factor 8	K12856
K12857						Prp8 binding protein	K12857
K12858						ATP-dependent RNA helicase DDX23/PRP28 [EC:3.6.4.13]	K12858
K12859						"U5 snRNP protein, DIM1 family"	K12859
K12860						pre-mRNA-splicing factor CDC5/CEF1	K12860
K12861						pre-mRNA-splicing factor SPF27	K12861
K12862						pleiotropic regulator 1	K12862
K12863						protein CWC15	K12863
K12864						beta-catenin-like protein 1	K12864
K12867						pre-mRNA-splicing factor SYF1	K12867
K12868						pre-mRNA-splicing factor SYF2	K12868
K12869						crooked neck	K12869
K12870						pre-mRNA-splicing factor ISY1	K12870
K12871						coiled-coil domain-containing protein 12	K12871
K12872						pre-mRNA-splicing factor RBM22/SLT11	K12872
K12873						bud site selection protein 31	K12873
K12874						intron-binding protein aquarius	K12874
K12876						RNA-binding protein 8A	K12876
K12878						THO complex subunit 1	K12878
K12879						THO complex subunit 2	K12879
K12880						THO complex subunit 3	K12880
K12882						nuclear cap-binding protein subunit 1	K12882
K12883						nuclear cap-binding protein subunit 2	K12883
K12897						transformer-2 protein	K12897
K12940						aminobenzoyl-glutamate utilization protein A	K12940
K12941						aminobenzoyl-glutamate utilization protein B	K12941
K12942						aminobenzoyl-glutamate transport protein	K12942
K12944						nucleoside triphosphatase [EC:3.6.1.-]	K12944
K12945						GDP-mannose pyrophosphatase NudK [EC:3.6.1.-]	K12945
K12947						signal peptidase complex subunit 2 [EC:3.4.-.-]	K12947
K12948						signal peptidase complex subunit 3 [EC:3.4.-.-]	K12948
K12950						manganese/zinc-transporting P-type ATPase C [EC:7.2.2.-]	K12950
K12952						cation-transporting P-type ATPase E [EC:7.2.2.-]	K12952
K12955						cation-transporting P-type ATPase I [EC:7.2.2.-]	K12955
K12957						alcohol/geraniol dehydrogenase (NADP+) [EC:1.1.1.2 1.1.1.183]	K12957
K12960						5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]	K12960
K12962						undecaprenyl phosphate-alpha-L-ara4N flippase subunit ArnE	K12962
K12963						undecaprenyl phosphate-alpha-L-ara4N flippase subunit ArnF	K12963
K12972						glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	K12972
K12975						KDO II ethanolaminephosphotransferase [EC:2.7.8.42]	K12975
K12976						lipid A 3-O-deacylase [EC:3.1.1.-]	K12976
K12978						lipid A 4'-phosphatase [EC:3.1.3.-]	K12978
K12979						beta-hydroxylase [EC:1.14.11.-]	K12979
K12980						lipid A oxidase	K12980
K12982						heptosyltransferase I [EC:2.4.-.-]	K12982
K12983						"UDP-glucose:(glucosyl)LPS beta-1,3-glucosyltransferase [EC:2.4.1.-]"	K12983
K12984						"(heptosyl)LPS beta-1,4-glucosyltransferase [EC:2.4.1.-]"	K12984
K12988						"alpha-1,3-rhamnosyltransferase [EC:2.4.1.-]"	K12988
K12989						mannosyltransferase [EC:2.4.1.-]	K12989
K12990						rhamnosyltransferase [EC:2.4.1.-]	K12990
K12991						rhamnosyltransferase [EC:2.4.1.-]	K12991
K12992						rhamnosyltransferase [EC:2.4.1.-]	K12992
K12993						"O-antigen biosynthesis alpha-1,2-mannosyltransferase/rhamnosyltransferase [EC:2.4.1.371 2.4.1.-]"	K12993
K12994						"mannosyl-N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-alpha-mannosyltransferase / alpha-1,3-rhamnosyltransferase [EC:2.4.1.349 2.4.1.-]"	K12994
K12995						"N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 3-alpha-mannosyltransferase / rhamnosyltransferase [EC:2.4.1.348 2.4.1.-]"	K12995
K12996						rhamnosyltransferase [EC:2.4.1.-]	K12996
K12997						rhamnosyltransferase [EC:2.4.1.-]	K12997
K12998						glucosyltransferase [EC:2.4.1.-]	K12998
K13001						mannosyltransferase [EC:2.4.1.-]	K13001
K13002						glycosyltransferase [EC:2.4.1.-]	K13002
K13004						galacturonosyltransferase WbtD [EC:2.4.1.-]	K13004
K13005						abequosyltransferase [EC:2.4.1.60]	K13005
K13006						UDP-perosamine 4-acetyltransferase [EC:2.3.1.-]	K13006
K13007						Fuc2NAc and GlcNAc transferase [EC:2.4.1.-]	K13007
K13009						O-antigen polymerase [EC:2.4.1.-]	K13009
K13010						perosamine synthetase [EC:2.6.1.102]	K13010
K13012						O-antigen biosynthesis protein WbqP	K13012
K13013						O-antigen biosynthesis protein WbqV	K13013
K13014						undecaprenyl phosphate-alpha-L-ara4FN deformylase [EC:3.5.1.-]	K13014
K13015						UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]	K13015
K13016						UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]	K13016
K13017						UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase [EC:2.6.1.98]	K13017
K13018						"UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase [EC:2.3.1.201]"	K13018
K13020						UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]	K13020
K13021						"MFS transporter, ACS family, tartrate transporter"	K13021
K13024						inositol-hexakisphosphate/diphosphoinositol-pentakisphosphate 1-kinase [EC:2.7.4.24]	K13024
K13028						aldoxime dehydratase [EC:4.99.1.5]	K13028
K13038						phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]	K13038
K13039						sulfopyruvate decarboxylase subunit beta [EC:4.1.1.79]	K13039
K13041						"two-component system, LuxR family, response regulator TtrR"	K13041
K13043						N-succinyl-L-ornithine transcarbamylase [EC:2.1.3.11]	K13043
K13049						carboxypeptidase PM20D1 [EC:3.4.17.-]	K13049
K13051						L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]	K13051
K13052						cell division protein DivIC	K13052
K13053						cell division inhibitor SulA	K13053
K13057						trehalose synthase [EC:2.4.1.245]	K13057
K13061						acyl homoserine lactone synthase [EC:2.3.1.184]	K13061
K13063						2-amino-4-deoxychorismate synthase [EC:2.6.1.86]	K13063
K13069						diguanylate cyclase [EC:2.7.7.65]	K13069
K13075						N-acyl homoserine lactone hydrolase [EC:3.1.1.81]	K13075
K13076						sphingolipid 8-(E)-desaturase [EC:1.14.19.18]	K13076
K13091						RNA-binding protein 23/39	K13091
K13093						HIV Tat-specific factor 1	K13093
K13094						RNA-binding protein 5/10	K13094
K13095						splicing factor 1	K13095
K13099						CD2 antigen cytoplasmic tail-binding protein 2	K13099
K13100						pre-mRNA-splicing factor CWC22	K13100
K13102						DNA/RNA-binding protein KIN17	K13102
K13103						tuftelin-interacting protein 11	K13103
K13104						zinc finger protein 830	K13104
K13105						proline-rich protein PRCC	K13105
K13106						pre-mRNA-splicing factor CWC26	K13106
K13108						smad nuclear-interacting protein 1	K13108
K13110						microfibrillar-associated protein 1	K13110
K13113						ubiquitin-like protein 5	K13113
K13115						coiled-coil domain-containing protein 130	K13115
K13118						protein DGCR14	K13118
K13119						protein FAM50	K13119
K13120						protein FAM32A	K13120
K13122						protein FRG1	K13122
K13123						G patch domain-containing protein 1	K13123
K13124						mitogen-activated protein kinase organizer 1	K13124
K13125						nitric oxide synthase-interacting protein	K13125
